No,지역,지역,지역,지역,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월
No,지역,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,지역,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원
60,경기,경부2권,수원시,장안구,"""481,676""","""482,717""","""483,753""","""484,253""","""484,629""","""497,546""","""497,987""","""498,529""","""499,824""","""500,348"""
61,경기,경부2권,수원시,권선구,"""442,073""","""442,391""","""442,724""","""443,038""","""442,897""","""443,093""","""442,522""","""442,802""","""443,127""","""443,534"""
62,경기,경부2권,수원시,팔달구,"""481,423""","""481,063""","""480,873""","""480,681""","""481,015""","""509,874""","""509,987""","""511,331""","""513,499""","""515,122"""
63,경기,경부2권,수원시,영통구,"""721,145""","""724,073""","""724,968""","""724,536""","""726,331""","""728,065""","""729,692""","""732,769""","""737,196""","""739,629"""
64,경기,서해안권,서해안권,서해안권,"""450,226""","""450,300""","""449,538""","""448,576""","""447,865""","""450,555""","""450,108""","""449,844""","""450,388""","""450,243"""
65,경기,서해안권,부천시,부천시,"""478,732""","""479,129""","""479,510""","""479,745""","""479,473""","""483,105""","""482,260""","""481,560""","""481,001""","""481,060"""
66,경기,서해안권,부천시,원미구,"""530,920""","""531,473""","""532,087""","""532,939""","""533,035""","""534,966""","""534,017""","""533,013""","""532,642""","""532,935"""
67,경기,서해안권,부천시,(구)원미구,,,,,,,,,,
68,경기,서해안권,부천시,소사구,"""462,190""","""462,697""","""462,928""","""462,339""","""461,301""","""469,004""","""468,216""","""467,780""","""466,635""","""465,504"""
69,경기,서해안권,부천시,(구)소사구,,,,,,,,,,
70,경기,서해안권,부천시,오정구,"""306,123""","""305,632""","""305,421""","""305,088""","""305,123""","""312,881""","""312,305""","""312,169""","""312,271""","""314,254"""
71,경기,서해안권,부천시,(구)오정구,,,,,,,,,,
72,경기,서해안권,안산시,안산시,"""432,697""","""432,871""","""432,516""","""432,160""","""431,536""","""430,185""","""429,665""","""429,057""","""429,074""","""428,965"""
73,경기,서해안권,안산시,상록구,"""412,706""","""412,969""","""412,448""","""411,983""","""411,277""","""411,353""","""410,840""","""409,816""","""409,721""","""409,311"""
74,경기,서해안권,안산시,단원구,"""449,061""","""449,162""","""448,943""","""448,677""","""448,120""","""445,408""","""444,881""","""444,610""","""444,719""","""444,852"""
75,경기,서해안권,시흥시,시흥시,"""372,784""","""372,439""","""372,288""","""371,698""","""372,119""","""373,436""","""373,528""","""373,191""","""372,889""","""371,780"""
76,경기,서해안권,광명시,광명시,"""723,506""","""724,234""","""720,615""","""715,472""","""711,895""","""707,825""","""707,778""","""710,125""","""716,385""","""720,728"""
77,경기,서해안권,화성시,화성시,"""542,312""","""542,999""","""542,766""","""542,974""","""543,166""","""547,923""","""548,510""","""548,950""","""550,882""","""550,774"""
78,경기,서해안권,오산시,오산시,"""335,170""","""335,045""","""334,619""","""334,184""","""333,147""","""341,194""","""340,884""","""340,734""","""340,677""","""340,519"""
79,경기,서해안권,평택시,평택시,"""291,139""","""290,119""","""288,116""","""285,778""","""284,265""","""292,347""","""290,266""","""288,355""","""286,496""","""284,280"""
80,경기,동부1권,동부1권,동부1권,"""582,691""","""582,230""","""581,227""","""580,861""","""581,477""","""589,515""","""589,584""","""591,314""","""593,111""","""594,736"""
81,경기,동부1권,남양주시,남양주시,"""456,428""","""456,128""","""455,739""","""455,483""","""455,246""","""467,131""","""466,652""","""467,056""","""468,062""","""468,792"""
82,경기,동부1권,구리시,구리시,"""625,477""","""624,894""","""624,527""","""624,106""","""624,591""","""636,302""","""636,085""","""636,589""","""636,486""","""636,742"""
83,경기,동부1권,하남시,하남시,"""942,619""","""941,441""","""939,140""","""939,208""","""941,377""","""947,252""","""949,223""","""955,702""","""961,038""","""966,408"""
84,경기,동부1권,광주시,광주시,"""414,074""","""414,171""","""412,759""","""411,741""","""412,542""","""418,885""","""418,296""","""418,730""","""420,004""","""420,646"""
85,경기,동부2권,동부2권,동부2권,"""217,520""","""217,114""","""216,349""","""216,006""","""215,051""","""221,542""","""221,051""","""220,870""","""220,341""","""219,894"""
86,경기,동부2권,이천시,이천시,"""233,668""","""232,996""","""231,866""","""231,259""","""230,203""","""231,179""","""230,165""","""229,345""","""228,323""","""227,854"""
87,경기,동부2권,여주시,여주시,"""172,340""","""172,173""","""172,291""","""172,597""","""171,616""","""184,663""","""184,455""","""184,798""","""184,898""","""184,476"""
88,경기,경의권,경의권,경의권,"""473,151""","""472,371""","""471,599""","""470,709""","""468,946""","""469,413""","""468,113""","""467,062""","""465,993""","""464,916"""
89,경기,경의권,김포시,김포시,"""451,591""","""450,882""","""449,541""","""447,640""","""445,102""","""446,453""","""444,857""","""443,606""","""443,391""","""442,837"""
90,경기,경의권,고양시,고양시,"""524,176""","""523,179""","""522,212""","""521,547""","""519,882""","""520,425""","""519,167""","""518,159""","""516,859""","""515,694"""
91,경기,경의권,고양시,덕양구,"""522,109""","""521,267""","""520,145""","""518,888""","""515,745""","""520,318""","""520,033""","""520,190""","""521,063""","""521,244"""
92,경기,경의권,고양시,일산동구,"""606,543""","""605,199""","""603,998""","""603,475""","""601,895""","""597,908""","""595,044""","""592,464""","""587,956""","""585,480"""
93,경기,경의권,고양시,일산서구,"""461,613""","""460,708""","""460,106""","""460,018""","""460,004""","""458,074""","""456,961""","""455,842""","""454,556""","""452,856"""
94,경기,경의권,파주시,파주시,"""357,533""","""357,267""","""357,695""","""357,359""","""356,225""","""359,143""","""358,062""","""357,122""","""355,710""","""354,273"""
95,경기,경원권,경원권,경원권,"""264,822""","""264,988""","""264,638""","""264,174""","""264,096""","""274,511""","""274,140""","""273,926""","""273,841""","""273,997"""
96,경기,경원권,포천시,포천시,"""159,038""","""158,897""","""158,633""","""158,346""","""158,163""","""166,495""","""166,724""","""166,597""","""167,041""","""166,990"""
97,경기,경원권,동두천시,동두천시,"""172,337""","""172,396""","""172,179""","""172,003""","""171,857""","""174,741""","""174,681""","""174,687""","""174,394""","""174,078"""
98,경기,경원권,양주시,양주시,"""265,962""","""266,484""","""266,518""","""266,238""","""266,626""","""281,510""","""281,040""","""280,730""","""280,500""","""280,526"""
99,경기,경원권,의정부시,의정부시,"""321,599""","""321,654""","""320,993""","""320,274""","""319,948""","""330,561""","""329,995""","""329,754""","""329,687""","""330,136"""
100,인천,인천,인천,인천,"""379,203""","""378,074""","""377,016""","""376,267""","""375,301""","""383,206""","""382,862""","""382,525""","""382,060""","""381,730"""
101,인천,중구,중구,중구,"""324,684""","""323,149""","""321,758""","""321,429""","""321,164""","""328,038""","""328,189""","""327,083""","""326,320""","""326,205"""
102,인천,동구,동구,동구,"""186,364""","""186,272""","""185,847""","""185,716""","""185,378""","""188,138""","""187,768""","""187,869""","""188,247""","""188,523"""
103,인천,남구,남구,남구,,,,,,,,,,
104,인천,미추홀구,미추홀구,미추홀구,"""270,401""","""269,397""","""268,603""","""268,082""","""267,788""","""287,843""","""288,050""","""287,677""","""287,099""","""286,770"""
105,인천,연수구,연수구,연수구,"""610,118""","""608,280""","""606,566""","""605,230""","""602,627""","""603,914""","""601,238""","""598,619""","""597,781""","""596,781"""
106,인천,남동구,남동구,남동구,"""353,238""","""351,593""","""349,934""","""348,928""","""348,565""","""350,892""","""350,890""","""351,373""","""351,520""","""351,644"""
107,인천,부평구,부평구,부평구,"""345,267""","""344,487""","""344,646""","""344,354""","""344,380""","""353,376""","""353,785""","""353,879""","""353,841""","""353,650"""
108,인천,계양구,계양구,계양구,"""273,452""","""272,880""","""271,463""","""270,560""","""269,698""","""274,597""","""274,530""","""274,865""","""274,413""","""274,857"""
109,인천,서구,서구,서구,"""427,499""","""426,643""","""425,715""","""424,969""","""423,194""","""432,640""","""432,706""","""433,154""","""432,172""","""431,250"""
110,부산,부산,부산,부산,"""358,984""","""358,262""","""357,728""","""357,220""","""356,615""","""363,562""","""362,990""","""362,543""","""362,592""","""362,893"""
111,부산,중부산권,중부산권,중부산권,"""357,884""","""357,285""","""357,023""","""356,858""","""356,417""","""363,770""","""363,046""","""362,628""","""362,934""","""363,569"""
112,부산,중부산권,중구,중구,"""163,627""","""163,385""","""163,520""","""163,322""","""163,232""","""161,549""","""161,668""","""161,512""","""161,195""","""161,451"""
113,부산,중부산권,서구,서구,"""322,999""","""322,480""","""322,176""","""321,763""","""321,448""","""328,505""","""328,308""","""327,541""","""327,529""","""327,173"""
114,부산,중부산권,동구,동구,"""261,795""","""261,286""","""260,747""","""259,972""","""259,158""","""265,487""","""264,460""","""263,180""","""262,956""","""264,035"""
115,부산,중부산권,영도구,영도구,"""193,643""","""193,518""","""193,156""","""192,876""","""192,588""","""200,741""","""200,661""","""200,529""","""200,183""","""200,144"""
116,부산,중부산권,부산진구,부산진구,"""268,984""","""268,417""","""267,647""","""267,660""","""266,691""","""280,016""","""279,340""","""278,480""","""277,967""","""277,286"""
117,부산,중부산권,남구,남구,"""430,851""","""429,785""","""429,926""","""430,188""","""429,850""","""430,525""","""429,534""","""429,214""","""430,268""","""432,626"""
118,부산,중부산권,연제구,연제구,"""415,444""","""414,039""","""412,977""","""412,356""","""411,935""","""412,745""","""412,432""","""412,023""","""411,863""","""412,432"""
119,부산,중부산권,수영구,수영구,"""585,315""","""585,739""","""586,908""","""586,900""","""587,147""","""600,723""","""598,943""","""599,521""","""601,880""","""603,542"""
120,부산,동부산권,동부산권,동부산권,"""442,969""","""441,985""","""441,219""","""440,252""","""439,587""","""445,176""","""444,722""","""444,380""","""444,775""","""445,690"""
121,부산,동부산권,해운대구,해운대구,"""568,149""","""566,739""","""565,485""","""563,682""","""563,368""","""574,446""","""574,547""","""574,564""","""576,570""","""579,207"""
122,부산,동부산권,금정구,금정구,"""361,697""","""361,207""","""360,505""","""359,990""","""359,245""","""359,315""","""358,349""","""357,697""","""357,251""","""356,985"""
123,부산,동부산권,동래구,동래구,"""440,484""","""439,458""","""438,837""","""438,422""","""437,350""","""444,288""","""443,410""","""442,924""","""441,780""","""441,749"""
124,부산,동부산권,기장군,기장군,"""294,453""","""293,805""","""293,711""","""293,082""","""292,397""","""288,104""","""287,742""","""287,245""","""287,628""","""287,836"""
125,부산,서부산권,서부산권,서부산권,"""269,443""","""268,826""","""268,154""","""267,648""","""266,875""","""274,583""","""274,104""","""273,501""","""272,800""","""271,945"""
126,부산,서부산권,북구,북구,"""292,367""","""291,836""","""290,962""","""291,107""","""290,884""","""297,488""","""297,327""","""297,370""","""297,429""","""296,760"""
127,부산,서부산권,강서구,강서구,"""415,786""","""414,731""","""413,548""","""412,378""","""409,727""","""428,262""","""426,942""","""425,405""","""423,447""","""421,586"""
128,부산,서부산권,사상구,사상구,"""204,856""","""204,212""","""203,828""","""203,137""","""202,540""","""213,034""","""212,436""","""211,368""","""210,598""","""210,242"""
129,부산,서부산권,사하구,사하구,"""225,496""","""225,023""","""224,576""","""223,900""","""223,363""","""224,365""","""224,074""","""223,651""","""222,869""","""221,941"""
130,대구,대구,대구,대구,"""320,683""","""319,421""","""317,935""","""316,796""","""315,490""","""324,545""","""323,333""","""322,791""","""322,015""","""321,678"""
131,대구,중구,중구,중구,"""415,460""","""414,145""","""412,526""","""411,332""","""409,922""","""430,918""","""429,685""","""429,056""","""428,771""","""429,189"""
132,대구,동구,동구,동구,"""261,974""","""260,817""","""259,478""","""258,772""","""257,915""","""267,191""","""266,326""","""266,043""","""265,926""","""265,986"""
133,대구,서구,서구,서구,"""261,967""","""260,787""","""259,492""","""257,636""","""256,137""","""255,652""","""254,069""","""252,992""","""251,916""","""250,909"""
134,대구,남구,남구,남구,"""293,143""","""291,663""","""290,413""","""289,395""","""287,952""","""294,870""","""293,512""","""292,710""","""291,623""","""291,008"""
135,대구,북구,북구,북구,"""243,771""","""243,147""","""241,948""","""240,327""","""238,747""","""241,523""","""240,131""","""239,618""","""238,873""","""238,334"""
136,대구,수성구,수성구,수성구,"""544,398""","""543,116""","""540,282""","""538,507""","""535,662""","""551,787""","""550,353""","""549,744""","""549,497""","""549,909"""
137,대구,달서구,달서구,달서구,"""295,213""","""293,606""","""292,522""","""291,869""","""291,422""","""298,454""","""297,143""","""296,608""","""294,862""","""293,785"""
138,대구,달성군,달성군,달성군,"""227,503""","""225,932""","""224,921""","""224,296""","""223,713""","""229,063""","""228,395""","""227,973""","""227,347""","""227,100"""
139,광주,광주,광주,광주,"""272,765""","""272,377""","""271,928""","""271,348""","""270,701""","""276,211""","""275,128""","""274,275""","""273,596""","""273,278"""
140,광주,동구,동구,동구,"""322,299""","""321,434""","""320,447""","""319,923""","""319,164""","""326,682""","""323,868""","""321,982""","""321,595""","""321,395"""
141,광주,서구,서구,서구,"""295,148""","""294,704""","""294,153""","""293,218""","""292,594""","""298,043""","""296,260""","""295,038""","""293,931""","""293,550"""
142,광주,남구,남구,남구,"""322,724""","""322,271""","""321,722""","""320,686""","""319,561""","""323,387""","""323,198""","""322,233""","""321,185""","""320,282"""
143,광주,북구,북구,북구,"""219,505""","""219,196""","""218,897""","""218,488""","""218,144""","""225,031""","""224,516""","""224,258""","""224,003""","""223,515"""
144,광주,광산구,광산구,광산구,"""260,350""","""260,137""","""259,878""","""259,687""","""259,046""","""262,977""","""261,966""","""261,254""","""260,610""","""260,860"""
145,대전,대전,대전,대전,"""337,140""","""336,680""","""336,203""","""335,687""","""335,024""","""338,759""","""337,631""","""336,728""","""335,742""","""335,344"""
146,대전,동구,동구,동구,"""252,245""","""251,852""","""251,230""","""250,666""","""249,571""","""253,668""","""253,059""","""252,363""","""251,946""","""251,437"""
147,대전,중구,중구,중구,"""311,689""","""310,282""","""309,405""","""308,870""","""307,582""","""314,246""","""312,559""","""310,520""","""309,655""","""309,471"""
148,대전,서구,서구,서구,"""369,181""","""369,015""","""368,994""","""368,255""","""368,253""","""367,597""","""367,158""","""366,657""","""365,730""","""365,232"""
149,대전,유성구,유성구,유성구,"""440,733""","""440,605""","""439,831""","""439,431""","""438,532""","""445,295""","""442,970""","""442,057""","""440,291""","""439,800"""
150,대전,대덕구,대덕구,대덕구,"""218,374""","""217,792""","""217,504""","""217,333""","""216,909""","""223,286""","""222,848""","""222,268""","""221,702""","""221,532"""
151,울산,울산,울산,울산,"""284,187""","""284,379""","""284,471""","""284,711""","""285,145""","""294,859""","""295,129""","""295,431""","""295,837""","""296,755"""
152,울산,중구,중구,중구,"""321,980""","""322,873""","""323,667""","""324,429""","""325,575""","""331,687""","""332,360""","""333,261""","""334,429""","""335,319"""
153,울산,남구,남구,남구,"""382,582""","""382,563""","""382,456""","""382,729""","""382,895""","""392,797""","""393,518""","""394,125""","""395,070""","""397,094"""
154,울산,동구,동구,동구,"""190,115""","""190,195""","""190,087""","""190,063""","""189,772""","""212,292""","""211,567""","""210,672""","""210,040""","""209,719"""
155,울산,북구,북구,북구,"""255,677""","""255,824""","""256,010""","""256,172""","""256,967""","""265,724""","""266,284""","""266,597""","""267,030""","""267,802"""
156,울산,울주군,울주군,울주군,"""225,230""","""225,240""","""225,053""","""225,094""","""225,461""","""231,300""","""231,112""","""231,459""","""231,307""","""231,940"""
157,세종,세종,세종,세종,"""517,306""","""516,282""","""514,642""","""513,040""","""510,958""","""516,294""","""525,480""","""528,197""","""528,760""","""529,573"""
158,강원,강원,강원,강원,"""185,752""","""185,597""","""185,315""","""185,307""","""185,241""","""189,119""","""188,649""","""188,573""","""188,397""","""188,059"""
159,강원,춘천시,춘천시,춘천시,"""245,495""","""245,733""","""245,990""","""246,460""","""247,037""","""249,303""","""249,669""","""250,019""","""249,737""","""249,306"""
160,강원,원주시,원주시,원주시,"""196,776""","""197,024""","""196,528""","""196,518""","""195,972""","""201,448""","""200,723""","""200,651""","""200,369""","""199,703"""
161,강원,강릉시,강릉시,강릉시,"""196,983""","""196,062""","""195,299""","""194,919""","""194,559""","""198,419""","""197,227""","""197,089""","""196,512""","""195,912"""
162,강원,동해시,동해시,동해시,"""128,151""","""127,817""","""127,768""","""127,902""","""128,161""","""130,078""","""129,755""","""129,325""","""129,645""","""129,916"""
163,강원,태백시,태백시,태백시,"""91,867""","""91,647""","""91,323""","""90,988""","""90,957""","""90,275""","""90,115""","""90,018""","""90,103""","""89,958"""
164,강원,속초시,속초시,속초시,"""221,458""","""220,328""","""219,508""","""219,000""","""218,622""","""223,057""","""221,501""","""220,628""","""220,442""","""220,263"""
165,강원,삼척시,삼척시,삼척시,"""100,823""","""101,021""","""101,148""","""101,372""","""101,401""","""112,064""","""112,183""","""112,554""","""112,708""","""112,779"""
166,충북,충북,충북,충북,"""202,133""","""201,954""","""201,614""","""201,656""","""201,530""","""204,799""","""204,617""","""204,906""","""205,389""","""205,616"""
167,충북,(구)청주시,(구)청주시,(구)청주시,,,,,,,,,,
168,충북,(구)청주시,(구)상당구,(구)상당구,,,,,,,,,,
169,충북,(구)청주시,(구)흥덕구,(구)흥덕구,,,,,,,,,,
